TOKEN | POSITION 
{ | -1
int | -1
n1 | 0
; | -1
int | -1
n2 | 1
; | -1
int | -1
n3 | 2
; | -1
char | -1
n4 | 3
; | -1
read | -1
( | -1
n1 | 0
) | -1
; | -1
read | -1
( | -1
n2 | 1
) | -1
; | -1
read | -1
( | -1
n3 | 2
) | -1
; | -1
m | 4
:= | -1
n1 | 0
; | -1
n4 | 3
:= | -1
'a' | 5
; | -1
if | -1
( | -1
m | 4
< | -1
n2 | 1
) | -1
{ | -1
m | 4
:= | -1
n2 | 1
; | -1
} | -1
if | -1
( | -1
m | 4
< | -1
n3 | 2
) | -1
{ | -1
m | 4
:= | -1
n3 | 2
; | -1
} | -1
print | -1
( | -1
m | 4
) | -1
; | -1
print | -1
( | -1
"Hello" | 6
) | -1
} | -1
